Gene	H37-H37002-BG002179-ar-BG002179.quant.sf	H37-H37002-BG004281-ar-BG004281.quant.sf
AC010203.2	0	0
AC010205.1	0	0
AC010207.1	0	0
AC010210.1	0.019161	0.057124
AC010223.1	0	0
AC010226.1	0.077651	0.290542
AC010230.1	0	0
AC010240.1	0.155239	0
AC010240.2	0	0
AC010240.3	0	0
AC010245.1	0	0
AC010245.2	0	0
AC010247.1	0	0
AC010247.2	0	0
AC010251.1	0	0
AC010255.1	0	0
AC010255.2	0	0.038393
AC010260.1	0	0
AC010261.1	0	0
AC010261.2	0	0
AC010265.1	0	0
AC010266.1	0	0
AC010266.2	0	0
AC010267.1	0	0
AC010271.1	0	0
AC010271.2	0	0
AC010273.1	0	0
AC010273.2	0	0
AC010273.3	0	0
AC010275.1	0	0
AC010280.1	0	0
AC010280.2	0	0
AC010280.3	0	0
AC010285.1	0	0
AC010285.2	0	0
AC010285.3	0	0
AC010287.1	0	0
AC010291.1	0	0
AC010297.1	0	0
AC010300.1	0	0
AC010301.1	0	0
AC010307.1	0	0
AC010307.2	0	0
AC010307.3	0	0
AC010307.4	0	0
AC010319.1	0	0
AC010319.2	0.056596	0
AC010319.3	0	0
AC010319.4	0	0
AC010319.5	0	0
AC010320.1	0	0
AC010320.2	0	0
AC010320.3	0	0
AC010320.4	0	0
AC010320.5	0	0
AC010323.1	0	0
AC010323.2	0	0
AC010325.1	0	0
AC010325.2	0	0
AC010325.3	0	0
AC010326.1	0	0
AC010326.2	0	0
AC010326.3	0.082418	0
AC010326.4	15.530176	13.578407
AC010327.1	0	0
AC010327.2	0	0
AC010327.3	0	0
AC010327.4	0	0
AC010327.5	0	0
AC010327.6	2.013796	1.839545
AC010327.7	0.042993	0
AC010327.8	0	0.05019
AC010328.1	0	0
AC010328.2	0	0
AC010328.3	0	0
AC010329.1	0	0
AC010329.2	0	0
AC010329.5	0	0
AC010331.1	0.72809	0
AC010332.1	0	0
AC010332.2	0	0
AC010332.3	0.155259	0.011596
AC010333.1	0	0
AC010333.2	0	0
AC010333.3	0	0
AC010335.1	0	0
AC010335.2	0	0
AC010335.3	0	0
AC010336.1	0.501668	0.619879
AC010336.2	0	0
AC010336.3	1.099699	0.125597
AC010336.4	0	0
AC010336.5	0	0
AC010336.6	0	0
AC010336.7	0	0
AC010338.1	0	0
AC010342.1	1.518582	0.569274
AC010343.1	0	0
AC010343.2	0	0
AC010343.3	0	0
AC010350.1	0	0
AC010359.1	0	0
AC010359.2	0	0
AC010359.3	0.054558	0
AC010368.1	0	0
AC010374.1	0	0
AC010374.2	0	0
AC010376.1	0	0
AC010378.1	0	0
AC010385.1	0	0
AC010385.2	0	0
AC010385.3	0	0
AC010387.1	0	0
AC010387.2	0	0
AC010395.1	0	0
AC010395.2	0	0
AC010401.1	0	0
AC010401.2	0	0
AC010406.1	0	0
AC010409.1	0	0
AC010420.1	0	0
AC010422.1	0	0
AC010422.2	0	0
AC010422.3	2.873624	2.156966
AC010422.4	0	0
AC010422.5	0	0.545838
AC010422.6	4.776829	2.95195
AC010422.7	0.178341	0
AC010422.8	1.272773	0.876997
AC010424.1	0	0
AC010424.2	0	0
AC010424.3	0	0
AC010425.1	0	0
AC010435.1	0.358904	0
AC010442.1	0	0
AC010442.2	0	0
AC010445.1	0	0
AC010451.1	0	0
AC010451.2	0	0
AC010451.3	0	0
AC010457.1	0	0
AC010460.1	0	0
AC010460.2	0	0
AC010460.3	0	0
AC010463.1	0	0
AC010463.2	0	0
AC010463.3	0	0
AC010468.1	0	0
AC010468.2	0	0
AC010469.1	0	0
AC010469.2	0	0
AC010476.1	0	0
AC010476.2	0	0
AC010478.1	0.053565	0
AC010480.1	0	0
AC010485.1	0	0
AC010486.1	0	0
AC010486.2	0	0
AC010486.3	0	0
AC010487.1	0	0
AC010487.2	0	0
AC010491.1	0	0.022572
AC010491.2	0	0
AC010493.1	0	0
AC010494.1	0	0
AC010501.1	0	0
AC010501.2	0.043976	0
AC010503.1	0	0
AC010503.2	0	0
AC010503.3	0	0
AC010503.4	5.01327	6.730603
AC010504.1	0	0.304714
AC010507.1	0	0
AC010507.2	0	0
AC010511.1	0	0
AC010519.1	0	0
AC010522.1	13.697709	2.178014
AC010524.1	0	0
AC010525.1	0	0
AC010525.2	0	0
AC010528.1	0	0
AC010528.2	0	0
AC010530.1	0	0
AC010531.1	0	0
AC010531.2	0	0
AC010531.3	0	0
AC010531.4	0	0
AC010531.5	0	0
AC010531.6	0	0
AC010531.7	0	0
AC010531.8	0	0
AC010533.1	3.199739	2.910632
AC010536.1	0	0
AC010536.2	0	0
AC010536.3	0	0
AC010538.1	0.02686	0.040751
AC010542.1	0.560914	0
AC010542.2	0	0
AC010542.3	0	0
AC010542.4	0.090645	0.377119
AC010542.5	0	0
AC010546.1	0	0
AC010547.1	0.134171	0.33911
AC010547.2	0	0
AC010547.3	0	0
AC010547.4	1.298363	0.950471
AC010547.5	0	0
AC010547.6	0	0
AC010551.1	0	0
AC010551.2	0	0
AC010551.3	0	0
AC010587.1	0	0
AC010587.2	0	0
AC010591.1	0	0
AC010595.1	0	0
AC010598.1	0	0
AC010601.1	0	0
AC010601.2	0	0
AC010605.1	0	0
AC010608.1	0	0
AC010608.2	0	0
AC010608.3	0	0
AC010609.1	0	0
AC010615.1	0.396693	0.599755
AC010615.2	0	0
AC010615.3	0	0
AC010615.4	0	0
AC010616.1	0	0.417745
AC010618.1	0	0
AC010618.2	0	0
AC010618.3	1.513088	2.966741
AC010619.1	0	0
AC010619.2	0.07707	0.068497
AC010620.1	0	0
AC010620.2	0	0
AC010623.1	0.019058	0.028864
AC010624.1	0	0
AC010624.2	0	0
AC010624.3	0.062928	0
AC010624.4	0	0
AC010624.5	0	0
AC010625.1	0	0
AC010627.1	0	0
AC010631.1	0	0
AC010632.1	0	0
AC010632.2	0	0
AC010632.3	0	0
AC010634.1	0	0
AC010636.1	0	0
AC010636.2	0	5.824143
AC010641.1	0	0
AC010641.2	0	0
AC010642.1	0	0
AC010642.2	1.530665	1.115388
AC010643.1	0	0
AC010646.1	0	0
AC010649.1	0	0
AC010653.1	0.057527	0
AC010653.2	0.147073	0.735734
AC010653.3	1.511105	0
AC010654.1	0	0
AC010655.1	0	0
AC010655.2	1.36852	0
AC010655.3	0	0.468372
AC010655.4	4.674678	0
AC010677.1	0	0
AC010677.2	0	0
AC010678.1	0	0
AC010680.1	0.296147	0.172917
AC010680.2	10.907227	6.025695
AC010680.3	11.986783	1.832627
AC010680.4	18.481412	12.140867
AC010680.5	0	0
AC010683.1	0	0
AC010719.1	0	0
AC010722.1	0	0
AC010723.1	0	0
AC010727.1	0	0
AC010729.1	0	0
AC010729.2	0	0
AC010731.1	0	0
AC010731.2	0	0
AC010733.1	0	0
AC010735.1	0	0
AC010735.2	0	0
AC010737.1	0	0
AC010745.1	0	0
AC010745.2	0	0
AC010745.3	0	0
AC010745.4	0	0
AC010745.5	0	0
AC010746.1	0	0
AC010746.2	0.15966	0
AC010754.1	0	0
AC010760.1	0	0
AC010761.1	0	0
AC010761.2	0.499197	0
AC010761.3	0	0
AC010761.4	0	0
AC010761.5	0	0
AC010761.6	0	0
AC010768.1	0	0
AC010768.2	0	0
AC010768.3	0	0
AC010768.4	0	0
AC010776.1	0	0
AC010776.2	0.08857	0
AC010776.3	0	0
AC010789.1	0	0
AC010789.2	0	0
AC010809.1	0	0
AC010809.2	0	0
AC010809.3	0	0
AC010834.1	2.1471	0.236499
AC010834.2	0	0
AC010834.3	0	0
AC010857.1	0	0
AC010867.1	0	0
AC010872.1	0	0
AC010872.2	0	0
AC010878.1	0	0
AC010880.1	0	0
AC010881.1	0	0
AC010883.1	0	0
AC010883.2	0	0
AC010883.3	0.540368	0.506013
AC010884.1	0	0
AC010886.1	0	0
AC010889.1	0	0
AC010889.2	0	0.010805
AC010891.1	0	0
AC010894.1	0	0
AC010894.2	0	0.067321
AC010894.3	0	0
AC010894.4	0	0
AC010896.1	0	0
AC010900.1	0	0
AC010904.1	0	0
AC010904.2	0	0
AC010907.1	0.194051	0
AC010907.2	0	0
AC010913.1	0	0
AC010928.1	0	0
AC010928.2	0	0
AC010928.3	0	0
AC010931.1	0.879636	1.462584
AC010931.2	0	0
AC010941.1	0	0
AC010947.1	0	0
AC010967.1	0	0
AC010967.2	0	0
AC010967.3	0	0
AC010969.1	0	0
AC010969.2	0	0
AC010969.3	0	0
AC010970.1	0	0
AC010973.1	0	0
AC010973.2	0.378017	0.398477
AC010973.3	0	0
AC010974.1	0	0
AC010974.2	0	0
AC010975.1	0	0
AC010976.1	0	0
AC010976.2	0.120269	0
AC010978.1	0	0.337274
AC010980.1	0	0
AC010982.1	0	0
AC010982.2	0	0
AC010983.1	0	0
AC010987.1	0	0
AC010991.1	0	0
AC010996.1	0	0
AC010997.1	0	0
AC010997.2	0	0
AC010997.3	0	0
AC010997.4	0	0
AC010997.5	0	0
AC010997.6	0.026853	0
AC010998.1	0	0
AC010998.2	0	0
AC010998.3	0	0
AC010999.1	0	0
AC010999.2	0	0.148125
AC011005.1	0	0
AC011005.2	0	0
AC011005.3	0	0
AC011005.4	0	0
AC011008.1	0	0
AC011008.2	0	0
AC011029.1	0	0
AC011037.1	0	0
AC011092.1	0	0.174308
AC011092.2	0	0
AC011092.3	0	0
AC011095.1	0	0
AC011120.1	0	0
AC011124.1	0	0
AC011124.2	0	0
AC011131.1	0	0
AC011139.1	0	0
AC011155.1	1.883953	0
AC011193.1	0	0
AC011193.2	0	0
AC011195.1	0	0
AC011196.1	0	0
AC011199.1	0	0
AC011225.1	0	0
AC011228.1	0	0
AC011228.2	0	0
AC011228.3	0	0
AC011233.1	0	0
AC011233.2	0	0
AC011239.1	0	0
AC011239.2	0	0
AC011242.1	0	0
AC011243.1	0	0
AC011246.1	0	0
AC011247.1	0	0
AC011247.2	0	0
AC011257.1	0	0
AC011266.1	0	0
AC011270.1	0	0
AC011270.2	0	0
AC011284.1	0	0
AC011287.1	0	0
AC011287.2	0	0
AC011290.1	0	0
AC011290.2	0	0
AC011294.1	0	0
AC011297.1	0	0
AC011298.1	0.024153	0.09165
AC011298.2	0	0
AC011298.3	0	0
AC011303.1	0	0
AC011306.1	0	0
AC011317.1	0	0
AC011322.1	0	0
AC011330.1	1.235473	5.310492
AC011330.2	0	0
AC011330.3	0	0
AC011333.1	0	0
AC011337.1	0.805468	0.62061
AC011346.1	0.390072	0.3101
AC011351.1	0	0
AC011352.1	0	0
AC011352.2	0	0
AC011352.3	0	0
AC011362.1	0	0
AC011363.1	0	0
AC011365.1	0.064359	0.09614
AC011369.1	0	0
AC011369.2	0	0
AC011370.1	0	0
AC011373.1	0	0
AC011374.1	0	0
AC011374.2	0	0
AC011374.3	0	0
AC011375.1	0	0
AC011377.1	0	0
AC011379.1	0	0.02075
AC011379.2	0	0
AC011383.1	0	0
AC011388.1	0	0
AC011389.1	0	0
AC011389.2	0.0489	0
AC011396.1	0	0
AC011396.2	0	0
AC011396.3	0	0
AC011399.1	0	0
AC011405.1	0	0
AC011406.1	0	0
AC011407.1	0	0
AC011410.1	0	0
AC011411.1	0.521642	0.086749
AC011416.1	0	0
AC011416.2	0	0
AC011416.3	0	0
AC011416.4	0	0
AC011431.1	0	0
AC011442.1	0	0
AC011443.1	0	0
AC011444.1	0	0
AC011444.2	0	0
AC011444.3	0	0
AC011444.4	0	0
AC011445.1	0	0
AC011446.1	0	0
AC011446.2	0.151637	0
AC011446.3	0.427662	0.253914
AC011447.1	0	0.776494
AC011447.2	0	0
AC011447.3	0.198619	0.896779
AC011447.4	0	0
AC011447.5	0	0
AC011447.6	0	0.195568
AC011447.7	0	0.042178
AC011448.1	1.763945	2.137988
AC011450.1	0	0
AC011451.1	0	0
AC011451.2	0	0
AC011451.3	0	0
AC011451.4	0	0
AC011452.1	0	0
AC011453.1	0	0
AC011453.2	0	0
AC011455.1	0	0
AC011455.2	0	0
AC011455.6	0	0
AC011458.1	0	0
AC011458.2	0	0
AC011460.1	0	0
AC011461.1	0	0
AC011462.1	0	0.324966
AC011462.2	0	0
AC011462.3	0	0
AC011462.4	0	0
AC011462.5	0.343034	0.108396
AC011465.1	0	0
AC011466.1	0	0
AC011466.2	0	0
AC011466.3	0	0
AC011466.4	0	0
AC011467.1	0.012242	0.01858
AC011467.2	0	0
AC011467.3	0	0
AC011467.4	0	0
AC011467.5	0	0
AC011467.6	0	0
AC011468.1	0	0
AC011468.2	0.160047	0
AC011468.3	0	0
AC011468.4	0.965061	1.116373
AC011468.5	0	0
AC011471.1	0	0
AC011471.2	0	0
AC011471.3	0	0
AC011471.4	0	0
AC011472.1	0.107794	0
AC011472.2	0	0
AC011472.3	0	0
AC011472.4	0	0
AC011472.5	0	0
AC011473.1	0	0
AC011473.2	0	0
AC011473.3	0	0
AC011473.4	0	0
AC011474.1	0	0
AC011474.2	0	0
AC011474.3	0	0
AC011474.4	0	0
AC011475.1	0	0
AC011476.1	0	0
AC011476.2	0	0
AC011476.3	0	0.391738
AC011476.5	0	0
AC011477.1	0	0
AC011477.2	0	0
AC011477.3	0	0
AC011477.4	0	0
AC011477.5	0	0
AC011477.6	0	0
AC011477.7	0	0
AC011477.8	0	0
AC011478.1	0	0
AC011479.1	0	0
AC011479.2	0	0
AC011479.3	0	0.069379
AC011479.4	0.469374	0.277992
AC011481.1	0	0
AC011481.2	0	0
AC011481.3	0.035745	0.076069
AC011483.1	0	0
AC011483.2	0	0
AC011483.3	0	0
AC011484.1	0.906394	1.73097
AC011487.1	0.220412	0
AC011487.2	0	0
AC011487.3	0	0
AC011491.1	0	0
AC011491.2	0	0
AC011491.3	0	0
AC011492.1	0	0
AC011494.1	0	0
AC011495.1	0	0
AC011495.2	0	0
AC011495.3	0.177576	0
AC011497.1	0	0
AC011497.2	11.164341	14.915771
AC011498.1	0	0
AC011498.2	0	0
AC011498.3	0	0
AC011498.4	0.348645	0.329153
AC011498.5	0	0
AC011498.6	0	0
AC011498.7	0.063601	0.032088
AC011499.1	0.13671	0
AC011500.1	0	0
AC011500.2	0	0
AC011500.3	0	0
AC011503.1	0	0
AC011503.2	0	0
AC011503.3	0.103732	0
AC011503.4	0	0
AC011504.1	0.053545	0.015019
AC011505.1	0	0
AC011506.1	0	0
AC011507.1	0	0
AC011509.1	0	0
AC011509.2	0	0
AC011509.3	0	0
AC011510.1	0	0
AC011511.1	0.518301	0.714343
AC011511.2	0.109023	0
AC011511.3	0	0
AC011511.4	8.844829	3.035791
AC011511.5	0.115161	0.116501
AC011516.1	0	0
AC011518.1	0	0
AC011523.1	0	0
AC011524.1	0	0
AC011524.2	0	0
AC011525.1	0	0
AC011525.2	0	0
AC011530.1	0.552589	0
AC011551.1	0	0
AC011558.1	0	0.412322
AC011586.1	0	0
AC011586.2	0	0
AC011591.1	0	0
AC011591.2	0	0
AC011592.1	0	0
AC011593.1	0	0
AC011595.1	0	0
AC011595.2	0	0
AC011601.1	0	0
AC011602.1	0	0
AC011603.1	0	0
AC011603.2	1.479792	2.267885
AC011603.3	0	0
AC011603.4	0	0
AC011604.1	0	0
AC011611.1	0	0
AC011611.2	0	0
AC011611.3	0.538971	0
AC011611.4	1.49334	0.810319
AC011611.5	0	0
AC011611.6	0	0
AC011625.1	0	0
AC011626.1	0	0
AC011632.1	0	0
AC011632.2	0	0
AC011676.1	0	0
AC011676.2	0	0
AC011676.3	0	0
AC011676.4	0	0
AC011676.5	0.015718	0
AC011700.1	0.031865	0
AC011716.1	0	0
AC011718.1	0	0
AC011726.1	0	0
AC011726.2	0	0
AC011731.1	1.279707	0.615155
AC011742.1	0	0
AC011747.1	0	0
AC011749.1	0	0
AC011751.1	0	0
AC011752.1	0	0
AC011753.1	0	0
AC011753.2	0	0
AC011754.1	0	0
AC011754.2	0	0
AC011755.1	0	0
AC011767.1	0	0
AC011773.1	0.299784	0
AC011773.2	0	0
AC011773.3	0	0
AC011773.4	0	0
AC011774.1	0	0
AC011815.1	0.018454	0.014017
AC011815.2	0	0
AC011815.3	0	0
AC011816.1	0	0
AC011816.2	0	0
AC011824.1	0	0
AC011824.2	0	0
AC011824.3	0	0
AC011825.1	0	0
AC011825.2	0	0
AC011825.3	0	0
AC011825.4	0.147074	0
AC011840.1	0	0
AC011840.2	0	0
AC011840.3	0	0
AC011840.4	0	0
AC011840.5	0	0
AC011853.1	0	0
AC011853.2	0	0
AC011891.1	0	0
AC011891.2	0	0
AC011891.3	0	0
AC011894.1	0	0
AC011897.1	0	0
AC011899.1	0	0
AC011899.2	0	0
AC011899.3	0	0
AC011901.1	0	0
AC011904.1	0	0
AC011912.1	0	0
AC011921.1	0	0
AC011921.2	0	0
AC011921.3	0	0
AC011933.1	0	0.455845
AC011933.2	0.044776	0.022634
AC011933.3	0	0
AC011933.4	0	0
AC011939.1	17.470234	5.142431
AC011939.2	0	0
AC011939.3	41.841007	9.250563
AC011944.1	0	0
AC011944.2	0	0
AC011978.1	0.020889	0
AC011979.1	0.7138	0
AC011979.2	0	0
AC011990.1	0	0
AC011995.1	0	0
AC011995.2	0	0
AC011997.1	5.350222	2.748649
AC011997.2	0	0
AC011998.1	0	0
AC011998.2	0	0
AC012005.1	0	0
AC012005.2	0	0
AC012020.1	0.011114	0.016874
AC012038.1	0	0
AC012038.2	0	0
AC012044.1	0	0
AC012048.1	0	0
AC012050.1	0	0
AC012055.1	0	0
AC012055.2	0	0
AC012060.1	0	0
AC012063.1	0.446813	0.470814
AC012065.1	0	0
AC012065.2	0	0
AC012065.3	0	0
AC012066.1	0	0
AC012070.1	0	0
AC012073.1	0.47245	0.516615
AC012076.1	0	0
AC012078.1	0	0
AC012078.2	0	0
AC012081.1	0	0
AC012081.2	0	0
AC012085.1	11.688143	9.276681
AC012085.2	0	0
AC012087.1	0	0
AC012087.2	0	0
AC012100.1	0	0
AC012100.2	0	0
AC012101.1	0	0
AC012101.2	0	0
AC012103.1	0	0
AC012119.1	0	0
AC012119.2	0	0
AC012123.1	0.079668	0
AC012123.2	0	0
AC012146.1	0	0
AC012146.2	0	0
AC012146.3	0	0
AC012150.1	0	0
AC012150.2	0	0
AC012157.1	0	0
AC012157.2	0	0
AC012157.3	0	0
AC012158.1	0	0
AC012170.1	0.252141	0.362197
AC012173.1	0.175226	0.254199
AC012174.1	0	0
AC012175.1	0	0
AC012178.1	0	0
AC012181.1	0	0
AC012181.2	0.098938	0
AC012182.1	0	0
AC012183.1	0	0
AC012184.1	0.712695	0.150403
AC012184.2	0	1.754427
AC012184.3	0.122257	0.085359
AC012184.4	0	0.236188
AC012186.1	0	0
AC012186.2	0	0
AC012186.3	0	0
AC012213.1	0	0
AC012213.2	0	0
AC012213.3	0.068119	0.101641
AC012213.4	0	0
AC012213.5	0	0
AC012229.1	0	0
AC012236.1	0.483555	1.145813
AC012254.1	0	0
AC012254.2	0	0
AC012254.3	0.14139	0.275228
AC012254.4	0	0
AC012254.5	0	0
AC012254.6	0	0
AC012254.7	0	0.122055
AC012291.1	0	0
AC012291.2	0	0
AC012291.3	0.02567	0
AC012301.1	0	0
AC012301.2	0	0
AC012306.1	0	0
AC012306.2	0	0
AC012306.3	0	0
AC012307.1	0	0
AC012308.1	0	0
AC012309.1	0	1.081035
AC012309.2	0	0
AC012313.1	0.50005	0.492088
AC012313.10	0.161701	0.080772
AC012313.2	0	0
AC012313.3	0.014625	1.542294
AC012313.4	0.135795	0
AC012313.5	0	0.025301
AC012313.6	0.025249	0.114505
AC012313.7	2.123135	2.790933
AC012313.8	0	0
AC012313.9	0	0.270928
AC012314.3	0	0
AC012317.1	0	0
AC012317.2	0	0
AC012321.1	77.773671	118.226077
AC012322.1	0	0
AC012325.1	0	0
AC012339.1	0	0
AC012349.1	0	0
AC012354.1	0	0
AC012354.2	0	0
AC012354.3	0	0
AC012354.4	0	0
AC012354.5	0	0
AC012354.6	0	0
AC012354.7	0	0
AC012354.8	0	0
AC012354.9	0	0
AC012355.1	0	0
AC012358.1	0	0.245701
AC012358.2	0	0
AC012360.1	0	0
AC012360.2	0	0
AC012363.1	0.424063	0.469255
AC012363.2	0	0
AC012366.1	0	0
AC012368.1	0.071935	0.072214
AC012368.2	0	0
AC012368.3	0	0
AC012370.1	0	0
AC012370.2	0	0
AC012378.1	0	0
AC012378.2	0	0
AC012379.1	0	0
AC012379.2	0	0
AC012400.1	0	0
AC012404.1	0	0
AC012404.2	0	0
AC012405.1	0	0
AC012409.1	0	0
AC012409.2	0	0
AC012409.3	0	0
AC012409.4	0	0
AC012409.5	0	0
AC012413.1	0	0
AC012414.1	0	0
AC012414.2	0	0
AC012414.3	0	0
AC012414.4	0	0
AC012414.5	0	0
AC012414.6	0	0
AC012417.1	0	0
AC012433.1	0	0
AC012433.2	0	0
AC012435.1	0	0
AC012435.2	0	0
AC012435.3	0	0
AC012441.1	0	0
AC012441.2	0	0
AC012442.1	0	0
AC012442.2	0	0
AC012443.1	0	0
AC012443.2	0.10453	0.105879
AC012445.1	0	0
AC012447.1	0	0
AC012451.1	0	0
AC012456.1	0	0
AC012456.2	0	0
AC012459.1	0.123672	0.26557
AC012462.1	0	0
AC012462.2	0	0
AC012462.3	0	0
AC012464.1	0	0
AC012464.2	0	0
AC012464.3	0	0
AC012467.1	0	0
AC012467.2	0.032457	0.0246
AC012468.1	0	0
AC012470.1	0	0
AC012485.1	0.067005	0
AC012485.2	0	0
AC012485.3	0.03479	0
AC012486.1	0.941977	0
AC012488.1	0	0
AC012488.2	0	0
AC012491.1	0	0
AC012493.1	0	0
AC012494.1	0	0
AC012494.2	0	0
AC012500.1	0	0
AC012501.1	0	0
AC012501.2	0	0
AC012506.1	0	0
AC012506.2	0	0
AC012506.3	0	0
AC012506.4	0	0
AC012507.1	0	0
AC012507.2	0	0
AC012507.3	0	0
AC012508.1	0	0
AC012508.2	0	0
AC012508.3	0	0
AC012511.1	0	0
AC012511.2	0	0
AC012513.1	0	0
AC012513.2	0	0
AC012513.3	0	0
AC012519.1	0	0
AC012531.1	0.031181	0.023638
AC012531.2	0	5.211759
AC012531.3	0	0
AC012531.4	0	0
AC012531.5	0	0
AC012531.6	0	0
AC012531.7	0	0
AC012533.1	0	0
AC012535.1	0	0
AC012555.1	0.16662	0
AC012555.2	0	0
AC012557.1	0	0
AC012557.2	0	0
AC012558.1	0	0
AC012560.1	0	0
AC012564.1	0	0
AC012568.1	0	0
AC012569.1	0	0
AC012572.1	0	0
AC012574.1	0	0
AC012574.2	0	0
AC012588.1	0	0
AC012593.1	0	0
AC012593.2	0	0
AC012613.1	0	0
AC012613.2	0	0
AC012615.1	0.035402	0
AC012615.2	0	0
AC012615.3	0	0
AC012615.4	0	0
AC012615.5	0	0
AC012615.6	0	0
AC012616.1	0	0
AC012618.1	0	0
AC012618.2	0	0
AC012618.3	0.229054	0.090477
AC012625.1	0	0
AC012629.1	0	0
AC012629.2	0	0
AC012629.3	0	0
AC012640.1	0	0
AC012640.2	0	0
AC012640.3	0	0
AC012640.4	0.362063	0.099781
AC012640.5	0	0
AC012645.1	0.187314	0.040433
AC012645.2	0	0
AC012645.3	0.249725	0
AC012645.4	0	0
AC012651.1	4.68547	2.9561
AC012653.1	0.053525	0
AC012653.2	0	0
AC012668.1	0	0
AC012668.2	0	0
AC012668.3	0	0
AC012669.1	0	0
AC012673.1	0	0
AC012676.1	0.9304	0.871493
AC012676.2	0	0
AC012676.3	0.719105	0.210064
AC012676.4	0	0
AC012676.5	0.110381	0.167022
AC013244.1	0	0
AC013244.2	0	0
AC013244.3	0	0
AC013248.1	0	0
AC013262.1	0	0
AC013265.1	0	0
AC013267.1	0	0
AC013268.1	0	0
AC013268.2	0	0
AC013268.3	1.618312	2.078477
AC013268.4	0	0
AC013268.5	0	0.166642
AC013269.1	0	0
AC013269.2	0	0
AC013270.1	0	0
AC013271.1	0.029303	0
AC013286.1	0	0
AC013287.1	0	0
AC013290.1	0	0
AC013355.1	0.07532	0
AC013356.1	0	0
AC013356.2	0	0
AC013356.3	0	0
AC013356.4	0	0
AC013391.1	0	0
AC013391.2	0	0
AC013391.3	0	0
AC013394.1	4.516886	1.284694
AC013400.1	0	0
AC013401.1	0	0
AC013401.2	0	0
AC013402.1	0	0
AC013402.2	0	0
AC013402.3	0	0
AC013403.1	0	0
AC013403.2	0	0
AC013410.1	0	0
AC013410.2	0	0
AC013412.1	0	0
AC013429.1	0	0
AC013429.2	0	0
AC013436.1	0	0
AC013437.1	0	0
AC013439.1	0	0
AC013442.1	0	0
AC013448.1	0	0
AC013448.2	0	0
AC013451.1	0.125673	0
AC013451.2	0	0
AC013452.1	0	0
AC013452.2	0	0
AC013457.1	0	0
AC013460.1	0	0
AC013467.1	0	0
AC013468.1	0	0
AC013470.1	0	0
AC013470.2	0	0
AC013470.3	0	0
AC013472.1	0	0
AC013472.2	1.033281	0
AC013474.1	0.065566	0
AC013474.2	0	0
AC013476.1	0	0
AC013477.1	0.251096	0
AC013480.1	0	0
AC013486.1	0	0
AC013489.1	1.915361	0.624094
AC013489.2	0	0
AC013489.3	0	0.184994
AC013509.1	0	0
AC013549.1	0	0
AC013549.2	0	0
AC013549.3	0	0
AC013549.4	0	0
AC013553.1	0	0
AC013553.2	0	0
AC013553.3	0	0
AC013553.4	0	0
AC013562.1	0	0
AC013562.2	0	0
AC013564.1	0	0
AC013565.1	0	0
AC013565.2	0	0
AC013640.1	0	0
AC013643.1	0	0
AC013643.2	0.092207	0
AC013643.3	0	0
AC013644.1	0	0
AC013652.1	0	0
AC013652.2	0	0
AC013701.1	0	0
AC013701.2	0	0
AC013714.1	0	0
AC013716.1	0	0
AC013717.1	0.190063	0.416958
AC013724.1	0	0
AC013726.1	0	0
AC013727.1	0	0
AC013727.2	0	0
AC013727.3	0	0
AC013731.1	0.057355	0
AC013733.1	0	0
AC013733.2	0	0
AC013734.1	0	0
AC013738.1	0	0
AC013762.1	0	0
AC013791.1	0	0
AC013799.1	0	0
AC013828.1	0	0
AC015468.1	0	0
AC015468.2	0	0
AC015468.3	0	0
AC015522.1	0	0
AC015540.1	0	0
AC015563.1	0	0
AC015563.2	0.206184	0
AC015574.1	0	0
AC015599.1	0	0
AC015599.2	0	0
AC015599.3	0	0
AC015631.1	0	0
AC015656.1	0.011431	0.034706
AC015660.1	0	0
AC015660.2	0	0
AC015660.3	0	0
AC015660.4	0	0
AC015660.5	0	0
AC015674.1	0	0
AC015687.1	0.051085	0.052333
AC015688.1	0	0
AC015688.2	0	0
AC015688.3	0	0
AC015688.4	1.506999	4.555952
AC015688.5	0	0
AC015688.6	0.086689	0
AC015712.1	0	0
AC015712.2	7.083431	5.391456
AC015712.3	0	0
AC015712.4	0	0
AC015712.5	0	0
AC015712.6	0	0.012041
AC015712.7	0	0
AC015720.1	0	0
AC015720.2	0	0
AC015722.1	0	0
AC015722.2	0	0
AC015726.1	0	0
AC015726.2	0	0
AC015726.3	0	0
AC015727.1	0	0
AC015795.1	0	0
AC015799.1	0.105778	0.160492
AC015802.1	0	0.046941
AC015802.2	0	0
AC015802.3	0	0
AC015802.4	0	0
AC015802.5	0	0
AC015802.6	0.120055	0.054765
AC015802.7	0	0
AC015804.1	0	0
AC015813.1	2.747797	2.30673
AC015813.2	9.167506	4.943409
AC015813.3	0	0
AC015813.4	0	0
AC015813.5	1.004862	0.713998
AC015813.6	0.020627	0
AC015813.7	0	0
AC015813.8	0	0
AC015818.1	0	0
AC015818.10	16.388769	11.46027
AC015818.2	0	0
AC015818.3	0	0
AC015818.4	0	0
AC015818.5	0	0
AC015818.6	0	0
AC015818.7	0	0
AC015818.8	0	0
AC015818.9	0	0
AC015819.1	0	0
AC015819.2	0	0
AC015819.3	0	0
AC015819.4	0	0
AC015819.5	0	0
AC015845.1	0	0
AC015845.2	0	0
AC015849.1	0	0
AC015849.2	0	0
