cancer_code,fusion_family,gene_5prime,gene_5prime_family,gene_5prime_ensembl_id,gene_3prime,gene_3prime_family,gene_3prime_ensembl_id,frequency,is_defining,pathognomonic,rnaseq_detectable,mechanism,confidence,pmid,notes
LUAD,CD74-NRG1,CD74,,ENSG00000019582,NRG1,growth factor,ENSG00000157168,rare,false,false,yes,fusion_transcript,medium,PMID:24469108,NRG1-rearranged (often invasive mucinous adenocarcinoma); HER3 pathway; zenocutuzumab target
LUAD,SLC3A2-NRG1,SLC3A2,SLC,ENSG00000168003,NRG1,growth factor,ENSG00000157168,rare,false,false,yes,fusion_transcript,low,PMID:34743207,NRG1 partner
LUAD,NTRK,,,,NTRK1,RTK,ENSG00000198400,rare,false,false,yes,fusion_transcript,medium,PMID:24162815,"NTRK1/3-rearranged NSCLC (rare); multiple 5' partners (e.g. MPRIP, TPM3, SQSTM1); TRK-inhibitor target"
PRAD,TMPRSS2-ERG,TMPRSS2,,ENSG00000184012,ERG,ETS,ENSG00000157554,~50%,false,false,surrogate,promoter_swap,high,PMID:16254181,prostate cancer; androgen-driven TMPRSS2 promoter drives ERG; intrachromosomal del 21q22; ERG IHC surrogate
PRAD,SLC45A3-ERG,SLC45A3,SLC,ENSG00000158715,ERG,ETS,ENSG00000157554,minority,false,false,surrogate,promoter_swap,medium,PMID:20118910,androgen-regulated SLC45A3 (prostein) promoter drives ERG
PRAD,TMPRSS2-ETV1,TMPRSS2,,ENSG00000184012,ETV1,ETS,ENSG00000006468,minority,false,false,surrogate,promoter_swap,medium,PMID:16254181,ETV1 alternative ETS partner; ETV1 has additional 5' partners
PRAD,TMPRSS2-ETV4,TMPRSS2,,ENSG00000184012,ETV4,ETS,ENSG00000175832,rare,false,false,surrogate,promoter_swap,medium,PMID:16585160,rarer ETS fusion
PRAD,TMPRSS2-ETV5,TMPRSS2,,ENSG00000184012,ETV5,ETS,ENSG00000244405,rare,false,false,surrogate,promoter_swap,low,PMID:18172298,rarest ETS fusion
GBM,FGFR3-TACC3,FGFR3,RTK,ENSG00000068078,TACC3,TACC,ENSG00000013810,~3%,false,false,yes,fusion_transcript,high,PMID:22837387,glioblastoma; tandem dup 4p16; FGFR-inhibitor target; tandem-dup can be missed by some callers
GBM,(none),,,,,,,,false,false,no,other,high,,"most GBM driven by EGFR amp/EGFRvIII, +7/-10, CDKN2A loss, TERT promoter; not a defining fusion"
LGG,KIAA1549-BRAF,KIAA1549,,ENSG00000122778,BRAF,,ENSG00000157764,~70%,true,true,yes,fusion_transcript,high,PMID:18974108,pilocytic astrocytoma; tandem dup 7q34; MAPK activation; MEK-inhibitor sensitive
LGG,FGFR3-TACC3,FGFR3,RTK,ENSG00000068078,TACC3,TACC,ENSG00000013810,subset,false,false,yes,fusion_transcript,medium,PMID:22837387,subset of diffuse gliomas; FGFR target
LGG,(none),,,,,,,,false,false,no,other,high,,diffuse adult LGG driven by IDH1/2 mutation +/- 1p19q codeletion or ATRX/TP53; not fusion-defined
CHOL,FGFR2-BICC1,FGFR2,RTK,ENSG00000066468,BICC1,,ENSG00000122870,subset,false,false,yes,fusion_transcript,high,PMID:23558953,intrahepatic cholangiocarcinoma; FGFR2 fusions (~10-15% iCCA); FGFR-inhibitor (pemigatinib) target; promiscuous 3' partners
CHOL,FGFR2-AHCYL1,FGFR2,RTK,ENSG00000066468,AHCYL1,,ENSG00000168710,subset,false,false,yes,fusion_transcript,medium,PMID:24122810,recurrent FGFR2 3' partner in iCCA
MTC,(none),,,,,,,,false,false,no,other,high,,medullary thyroid carcinoma: RET germline/somatic POINT mutations (M918T etc.) or RAS; NOT a fusion
NEC_MERKEL,(none),,,,,,,,false,false,no,other,high,,Merkel cell carcinoma: MCPyV clonal integration (virus-positive) or UV-mutation (virus-negative); not a chromosomal fusion
SCLC,(none),,,,,,,,false,false,no,other,high,,"small cell lung cancer: near-universal TP53 + RB1 loss, MYC family amp; no recurrent fusion"
NET_PANCREAS,(none),,,,,,,,false,false,no,other,high,,"pancreatic neuroendocrine tumor: MEN1, DAXX/ATRX, mTOR-pathway mutations; not fusion-driven"
NET_MIDGUT,(none),,,,,,,,false,false,no,other,high,,"midgut/small-bowel NET: CDKN1B mutation, chr18 LOH; not fusion-driven"
LIHC,DNAJB1-PRKACA,DNAJB1,,ENSG00000132002,PRKACA,non-RTK kinase,ENSG00000072062,~100% of FLC,true,true,yes,fusion_transcript,high,PMID:24578576,"fibrolamellar HCC subtype; ~400kb deletion chr19 fuses DNAJB1 to PRKACA; defining for FLC (young, non-cirrhotic)"
LIHC,(none),,,,,,,,false,false,no,other,high,,"conventional HCC: TERT promoter, CTNNB1, TP53; not fusion-driven"
BRCA,ETV6-NTRK3,ETV6,ETS,ENSG00000139083,NTRK3,RTK,ENSG00000140538,~100% of secretory,true,false,yes,fusion_transcript,high,PMID:12450792,secretory carcinoma of breast (MASC analogue); t(12;15); rare subtype but defining; TRK-inhibitor target
BRCA,(none),,,,,,,,false,false,no,other,high,,common breast cancer (luminal/HER2/basal): driven by ER/HER2/CN events; no defining fusion (secretory carcinoma excepted)
SARC_RMS_ARMS,PAX-FOXO/alt,PAX3,PAX,ENSG00000135903,NCOA1,NR coactivator,ENSG00000084676,rare,true,true,yes,fusion_transcript,low,PMID:19953635,PAX3 alternative 3' partner (NCOA1); fusion-positive ARMS variant
SARC_RMS_ARMS,PAX-FOXO/alt,PAX3,PAX,ENSG00000135903,NCOA2,NR coactivator,ENSG00000140396,rare,true,true,yes,fusion_transcript,low,PMID:19953635,PAX3 alternative 3' partner (NCOA2)
SARC_RMS_ARMS,PAX-FOXO/alt,PAX3,PAX,ENSG00000135903,FOXO4,FOX,ENSG00000184481,rare,true,true,yes,fusion_transcript,low,,rare PAX3-FOXO4 (AFX) variant; still a PAX->FOX fusion
SARC_RMS_SSRMS,FET-TFCP2,EWSR1,FET,ENSG00000182944,TFCP2,CP2 TF,ENSG00000135457,subset,true,true,yes,fusion_transcript,medium,PMID:29431183,"sclerosing/spindle-cell RMS, often intraosseous; FET-TFCP2"
SARC_RMS_SSRMS,FET-TFCP2,FUS,FET,ENSG00000089280,TFCP2,CP2 TF,ENSG00000135457,minority,true,true,yes,fusion_transcript,low,PMID:38114270,FUS alternative to EWSR1 in spindle/sclerosing RMS
SARC_RMS_SSRMS,NCOA2-fusion,SRF,MADS-box TF,ENSG00000112658,NCOA2,NR coactivator,ENSG00000140396,rare,true,true,yes,fusion_transcript,low,PMID:23463663,infantile spindle cell RMS variant (SRF-NCOA2)
SARC_CIC,CIC-DUX4,CIC,HMG-box (capicua),ENSG00000079432,DUX4,homeobox,ENSG00000260596,~95%,true,true,surrogate,fusion_transcript,medium,PMID:16717057,CIC-rearranged sarcoma; t(4;19)/t(10;19); DUX4 D4Z4 macrosatellite is hard to call by RNA-seq -> ETV4/PEA3 + WT1 overexpression surrogate
SARC_CIC,CIC-FOXO4,CIC,HMG-box (capicua),ENSG00000079432,FOXO4,FOX,ENSG00000184481,minority,true,true,yes,fusion_transcript,low,PMID:25007147,t(X;19) variant
SARC_CIC,CIC-NUTM1,CIC,HMG-box (capicua),ENSG00000079432,NUTM1,NUT,ENSG00000184507,rare,true,true,yes,fusion_transcript,low,PMID:38851744,rare CIC 3' partner
SARC_BCOR,BCOR-CCNB3,BCOR,PRC2/Polycomb,ENSG00000183337,CCNB3,cyclin,ENSG00000147082,majority,true,true,yes,fusion_transcript,medium,PMID:22387997,"BCOR-rearranged sarcoma; Xp11 paracentric inversion (cryptic by FISH, RNA-seq detectable)"
SARC_BCOR,ZC3H7B-BCOR,ZC3H7B,,ENSG00000100403,BCOR,PRC2/Polycomb,ENSG00000183337,minority,true,false,yes,fusion_transcript,low,PMID:29192652,also occurs in high-grade endometrial stromal sarcoma (not entity-specific)
SARC_BCOR,BCOR-MAML3,BCOR,PRC2/Polycomb,ENSG00000183337,MAML3,Mastermind,ENSG00000196782,rare,true,true,yes,fusion_transcript,low,,variant BCOR fusion
SARC_BCOR,(none-ITD),,,,,,,subset,true,false,no,other,medium,,"infantile primitive myxoid mesenchymal tumor / undifferentiated round cell: BCOR internal tandem duplication (ITD), not a fusion"
SARC_MYOEP,EWSR1-POU5F1,EWSR1,FET,ENSG00000182944,POU5F1,POU-homeobox,ENSG00000204531,subset,true,true,yes,fusion_transcript,medium,PMID:20815032,soft-tissue myoepithelial carcinoma; POU5F1=OCT4 pluripotency factor
SARC_MYOEP,FUS-POU5F1,FUS,FET,ENSG00000089280,POU5F1,POU-homeobox,ENSG00000204531,minority,true,true,yes,fusion_transcript,low,PMID:25066216,FET-family alternative (FUS)
SARC_MYOEP,EWSR1-PBX1,EWSR1,FET,ENSG00000182944,PBX1,homeobox(TALE),ENSG00000185630,subset,true,true,yes,fusion_transcript,low,PMID:31994243,myoepithelioma EWSR1 partner
SARC_MYOEP,EWSR1-ZNF444,EWSR1,FET,ENSG00000182944,ZNF444,,ENSG00000167685,rare,true,true,yes,fusion_transcript,low,PMID:19760602,rare myoepithelial partner
SARC_SMARCA4,(none),,,,,,,,false,false,no,other,high,,"SMARCA4/BRG1 deficiency (deletion/truncating mutation), not a fusion"
ALCL,ALK_rearrangement,NPM1,nucleophosmin,ENSG00000181163,ALK,RTK,ENSG00000171094,~majority of ALK+ ALCL,true,false,yes,fusion_transcript,high,PMID:8122112,ALK+ ALCL; t(2;5)(p23;q35); NPM1-ALK most common ALK partner (also TPM3/ATIC/TFG); ALK-inhibitor target. ALK- ALCL is DUSP22/TP63-rearranged.
ASTB,MN1-BEND2,MN1,,ENSG00000169184,BEND2,,ENSG00000177324,most,true,true,yes,fusion_transcript,high,PMID:36604386,MN1::BEND2 defines astroblastoma MN1-altered (WHO CNS5); supratentorial; pediatric/young-adult female predominance
