group_canonical_ensembl_gene_id,group_canonical_symbol,ensembl_gene_id,symbol,protein_aa,n_members
ENSG00000158406,H4C1/2/3/4/5/6/8/9/11/12/13/14/15/16,ENSG00000274618,H4C6,103,14
ENSG00000158406,H4C1/2/3/4/5/6/8/9/11/12/13/14/15/16,ENSG00000275126,H4C13,103,14
ENSG00000158406,H4C1/2/3/4/5/6/8/9/11/12/13/14/15/16,ENSG00000276180,H4C9,103,14
ENSG00000158406,H4C1/2/3/4/5/6/8/9/11/12/13/14/15/16,ENSG00000276966,H4C5,103,14
ENSG00000158406,H4C1/2/3/4/5/6/8/9/11/12/13/14/15/16,ENSG00000277157,H4C4,103,14
ENSG00000158406,H4C1/2/3/4/5/6/8/9/11/12/13/14/15/16,ENSG00000278637,H4C1,103,14
ENSG00000158406,H4C1/2/3/4/5/6/8/9/11/12/13/14/15/16,ENSG00000278705,H4C2,103,14
ENSG00000198021,SPANXA1/2,ENSG00000198021,SPANXA1,97,2
ENSG00000198021,SPANXA1/2,ENSG00000203926,SPANXA2,97,2
ENSG00000125551,PLGLB1/2,ENSG00000125551,PLGLB2,96,2
ENSG00000125551,PLGLB1/2,ENSG00000183281,PLGLB1,96,2
ENSG00000206047,DEFA1/DEFA1B,ENSG00000206047,DEFA1,94,2
ENSG00000206047,DEFA1/DEFA1B,ENSG00000240247,DEFA1B,94,2
ENSG00000188100,FAM25A/C/G,ENSG00000188100,FAM25A,89,3
ENSG00000188100,FAM25A/C/G,ENSG00000189090,FAM25G,89,3
ENSG00000188100,FAM25A/C/G,ENSG00000276430,FAM25C,89,3
ENSG00000205989,DEFB109B/C,ENSG00000205989,DEFB109C,87,2
ENSG00000205989,DEFB109B/C,ENSG00000206034,DEFB109B,87,2
ENSG00000134049,IER3IP1,ENSG00000134049,IER3IP1,82,2
ENSG00000134049,IER3IP1,ENSG00000267228,,82,2
ENSG00000204379,XAGE1A/B,ENSG00000204379,XAGE1A,81,2
ENSG00000204379,XAGE1A/B,ENSG00000204382,XAGE1B,81,2
ENSG00000225396,FAM236C/D,ENSG00000225396,FAM236D,79,2
ENSG00000225396,FAM236C/D,ENSG00000283594,FAM236C,79,2
ENSG00000232948,DEFB130A/B,ENSG00000232948,DEFB130A,79,2
ENSG00000232948,DEFB130A/B,ENSG00000233050,DEFB130B,79,2
ENSG00000268994,FAM236A/B,ENSG00000268994,FAM236B,79,2
ENSG00000268994,FAM236A/B,ENSG00000275520,FAM236A,79,2
ENSG00000285064,SMIM40,ENSG00000285064,,79,2
ENSG00000285064,SMIM40,ENSG00000286920,SMIM40,79,2
ENSG00000178947,SMIM10L2A/B,ENSG00000178947,SMIM10L2A,78,2
ENSG00000178947,SMIM10L2A/B,ENSG00000196972,SMIM10L2B,78,2
ENSG00000186562,DEFB105A/B,ENSG00000186562,DEFB105A,78,2
ENSG00000186562,DEFB105A/B,ENSG00000186599,DEFB105B,78,2
ENSG00000213145,CRIP1,ENSG00000213145,CRIP1,77,2
ENSG00000213145,CRIP1,ENSG00000257341,,77,2
ENSG00000176782,DEFB104A/B,ENSG00000176782,DEFB104A,72,2
ENSG00000176782,DEFB104A/B,ENSG00000177023,DEFB104B,72,2
ENSG00000214265,SNURF,ENSG00000214265,,71,2
ENSG00000214265,SNURF,ENSG00000273173,SNURF,71,2
ENSG00000186572,DEFB107A/B,ENSG00000186572,DEFB107A,70,2
ENSG00000186572,DEFB107A/B,ENSG00000198129,DEFB107B,70,2
ENSG00000176797,DEFB103A/B,ENSG00000176797,DEFB103A,67,2
ENSG00000176797,DEFB103A/B,ENSG00000177243,DEFB103B,67,2
ENSG00000186579,DEFB106A/B,ENSG00000186579,DEFB106A,65,2
ENSG00000186579,DEFB106A/B,ENSG00000187082,DEFB106B,65,2
ENSG00000171711,DEFB4A/B,ENSG00000171711,DEFB4A,64,2
ENSG00000171711,DEFB4A/B,ENSG00000177257,DEFB4B,64,2
ENSG00000224107,ETDA/B,ENSG00000224107,ETDB,59,2
ENSG00000224107,ETDA/B,ENSG00000238210,ETDA,59,2
ENSG00000127540,UQCR11,ENSG00000127540,UQCR11,56,2
ENSG00000127540,UQCR11,ENSG00000267059,,56,2
ENSG00000158164,TMSB15A/B,ENSG00000158164,TMSB15A,45,2
ENSG00000158164,TMSB15A/B,ENSG00000158427,TMSB15B,45,2
